n,k,vertices,edges,max_mv_size,mv_set,mv_set_readable,search_method,timestamp
3,1,6,9,4,"['u_0', 'u_1', 'u_2', 'v_0']","u_0, u_1, u_2, v_0",random,2025-07-12T14:27:45.762665
4,1,8,12,5,"['u_0', 'u_1', 'u_2', 'v_0', 'v_2']","u_0, u_1, u_2, v_0, v_2",random,2025-07-12T14:27:45.763812
5,1,10,15,5,"['u_0', 'u_1', 'u_3', 'v_0', 'v_3']","u_0, u_1, u_3, v_0, v_3",random,2025-07-12T14:27:45.771513
6,1,12,18,6,"['u_0', 'u_2', 'u_4', 'v_0', 'v_2', 'v_4']","u_0, u_2, u_4, v_0, v_2, v_4",random,2025-07-12T14:27:45.811177
7,1,14,21,6,"['u_0', 'u_1', 'u_4', 'v_2', 'v_4', 'v_6']","u_0, u_1, u_4, v_2, v_4, v_6",random,2025-07-12T14:27:45.958061
8,1,16,24,6,"['u_0', 'u_1', 'u_4', 'v_2', 'v_4', 'v_6']","u_0, u_1, u_4, v_2, v_4, v_6",random,2025-07-12T14:27:46.497725
9,1,18,27,6,"['u_0', 'u_1', 'u_5', 'v_2', 'v_5', 'v_7']","u_0, u_1, u_5, v_2, v_5, v_7",random,2025-07-12T14:27:48.109024
10,1,20,30,6,"['u_0', 'u_1', 'u_5', 'v_2', 'v_5', 'v_7']","u_0, u_1, u_5, v_2, v_5, v_7",random,2025-07-12T14:27:52.608369
11,1,22,33,6,"['u_0', 'u_1', 'u_6', 'v_2', 'v_6', 'v_8']","u_0, u_1, u_6, v_2, v_6, v_8",random,2025-07-12T14:28:03.228852
12,1,24,36,6,"['u_0', 'u_1', 'u_6', 'v_2', 'v_6', 'v_8']","u_0, u_1, u_6, v_2, v_6, v_8",random,2025-07-12T14:28:27.485586
13,1,26,39,6,"['u_0', 'u_1', 'u_7', 'v_2', 'v_7', 'v_9']","u_0, u_1, u_7, v_2, v_7, v_9",random,2025-07-12T14:29:17.745543
14,1,28,42,6,"['u_0', 'u_1', 'u_7', 'v_2', 'v_7', 'v_9']","u_0, u_1, u_7, v_2, v_7, v_9",random,2025-07-12T14:30:57.654586
15,1,30,45,6,"['u_0', 'u_1', 'u_8', 'v_10', 'v_2', 'v_8']","u_0, u_1, u_8, v_10, v_2, v_8",random,2025-07-12T14:44:29.742356
16,1,32,48,6,"['u_0', 'u_1', 'u_8', 'v_10', 'v_2', 'v_8']","u_0, u_1, u_8, v_10, v_2, v_8",random,2025-07-12T18:09:31.795853
17,1,34,51,6,"['u_0', 'u_1', 'u_9', 'v_11', 'v_2', 'v_9']","u_0, u_1, u_9, v_11, v_2, v_9",random,2025-07-12T18:18:41.904852
18,1,36,54,6,"['u_0', 'u_1', 'u_9', 'v_11', 'v_2', 'v_9']","u_0, u_1, u_9, v_11, v_2, v_9",random,2025-07-12T18:34:05.158355
19,1,38,57,6,"['u_0', 'u_1', 'u_10', 'v_10', 'v_12', 'v_2']","u_0, u_1, u_10, v_10, v_12, v_2",random,2025-07-12T21:06:17.199645
